site_id,site_name,country,lat,lon,base_network,base_2021,base_2022,base_2023,base_2024,wetlsp_2021,wetlsp_2022,wetlsp_2023,wetlsp_2024,final_fetch_r,tower_height_m,canopy_height_m,site_folder,netcdf_2021_file,netcdf_2022_file,netcdf_2023_file,netcdf_2024_file,parquet_geom_path,parquet_meta_path,parquet_timeseries_path,readme_json_path,readme_md_path
KR-CRK,Cheorwon Rice paddy,South Korea,38.2013,127.2506,,0,0,0,0,1,1,1,0,900,10,1,KR-CRK/,KR-CRK/KR-CRK-wetlsp-2021.nc,KR-CRK/KR-CRK-wetlsp-2022.nc,KR-CRK/KR-CRK-wetlsp-2023.nc,KR-CRK/KR-CRK-wetlsp-2024.nc,KR-CRK/pixels_geom_ds/,KR-CRK/pixels_meta_ds/meta.parquet,KR-CRK/pixels_timeseries_ds/,KR-CRK/README-parquet.json,KR-CRK/README-parquet.md
MY-CMC,Cermat Ceria,Malaysia,1.399833,111.401883,,0,0,0,0,1,1,1,1,2500,41,25,MY-CMC/,MY-CMC/MY-CMC-wetlsp-2021.nc,MY-CMC/MY-CMC-wetlsp-2022.nc,MY-CMC/MY-CMC-wetlsp-2023.nc,MY-CMC/MY-CMC-wetlsp-2024.nc,MY-CMC/pixels_geom_ds/,MY-CMC/pixels_meta_ds/meta.parquet,MY-CMC/pixels_timeseries_ds/,MY-CMC/README-parquet.json,MY-CMC/README-parquet.md
MY-MLM,Maludam Undrained,Malaysia,1.464,111.149,,0,0,0,0,1,1,1,1,2100,41,30,MY-MLM/,MY-MLM/MY-MLM-wetlsp-2021.nc,MY-MLM/MY-MLM-wetlsp-2022.nc,MY-MLM/MY-MLM-wetlsp-2023.nc,MY-MLM/MY-MLM-wetlsp-2024.nc,MY-MLM/pixels_geom_ds/,MY-MLM/pixels_meta_ds/meta.parquet,MY-MLM/pixels_timeseries_ds/,MY-MLM/README-parquet.json,MY-MLM/README-parquet.md
MY-SBW,Sibu station,Malaysia,2.186122,111.845636,,0,0,0,0,0,0,1,1,1600,21,8,MY-SBW/,MY-SBW/MY-SBW-wetlsp-2021.nc,MY-SBW/MY-SBW-wetlsp-2022.nc,MY-SBW/MY-SBW-wetlsp-2023.nc,MY-SBW/MY-SBW-wetlsp-2024.nc,MY-SBW/pixels_geom_ds/,MY-SBW/pixels_meta_ds/meta.parquet,MY-SBW/pixels_timeseries_ds/,MY-SBW/README-parquet.json,MY-SBW/README-parquet.md
NZ-Kop,Kopuatai,New Zealand,-37.3879,175.5539,,0,0,0,0,1,1,1,1,400,4.25,0.5,NZ-Kop/,NZ-Kop/NZ-Kop-wetlsp-2021.nc,NZ-Kop/NZ-Kop-wetlsp-2022.nc,NZ-Kop/NZ-Kop-wetlsp-2023.nc,NZ-Kop/NZ-Kop-wetlsp-2024.nc,NZ-Kop/pixels_geom_ds/,NZ-Kop/pixels_meta_ds/meta.parquet,NZ-Kop/pixels_timeseries_ds/,NZ-Kop/README-parquet.json,NZ-Kop/README-parquet.md
PE-AMG,Los Amigos,Peru,-12.5671,-70.0932,amf,0,0,0,0,1,1,1,1,3700,60,35,PE-AMG/,PE-AMG/PE-AMG-wetlsp-2021.nc,PE-AMG/PE-AMG-wetlsp-2022.nc,PE-AMG/PE-AMG-wetlsp-2023.nc,PE-AMG/PE-AMG-wetlsp-2024.nc,PE-AMG/pixels_geom_ds/,PE-AMG/pixels_meta_ds/meta.parquet,PE-AMG/pixels_timeseries_ds/,PE-AMG/README-parquet.json,PE-AMG/README-parquet.md
PE-Amp,Ampiyacu,Peru,-3.0221,-72.5986,,,,,,1,1,1,1,3000,50,30,PE-Amp/,PE-Amp/PE-Amp-wetlsp-2021.nc,PE-Amp/PE-Amp-wetlsp-2022.nc,PE-Amp/PE-Amp-wetlsp-2023.nc,PE-Amp/PE-Amp-wetlsp-2024.nc,PE-Amp/pixels_geom_ds/,PE-Amp/pixels_meta_ds/meta.parquet,PE-Amp/pixels_timeseries_ds/,PE-Amp/README-parquet.json,PE-Amp/README-parquet.md
PE-Jua,Juanjui,Peru,-7.1814,-76.7754,,,,,,1,1,1,1,2000,30,15,PE-Jua/,PE-Jua/PE-Jua-wetlsp-2021.nc,PE-Jua/PE-Jua-wetlsp-2022.nc,PE-Jua/PE-Jua-wetlsp-2023.nc,PE-Jua/PE-Jua-wetlsp-2024.nc,PE-Jua/pixels_geom_ds/,PE-Jua/pixels_meta_ds/meta.parquet,PE-Jua/pixels_timeseries_ds/,PE-Jua/README-parquet.json,PE-Jua/README-parquet.md
PE-QFR,Quistococha Forest Reserve,Peru,-3.8344,-73.319,amf,1,1,0,0,1,1,1,1,2200,45,35,PE-QFR/,PE-QFR/PE-QFR-wetlsp-2021.nc,PE-QFR/PE-QFR-wetlsp-2022.nc,PE-QFR/PE-QFR-wetlsp-2023.nc,PE-QFR/PE-QFR-wetlsp-2024.nc,PE-QFR/pixels_geom_ds/,PE-QFR/pixels_meta_ds/meta.parquet,PE-QFR/pixels_timeseries_ds/,PE-QFR/README-parquet.json,PE-QFR/README-parquet.md
PE-TNR,Tambopata,Peru,-12.8314,-69.2836,amf,0,0,0,0,1,1,1,1,2200,45,35,PE-TNR/,PE-TNR/PE-TNR-wetlsp-2021.nc,PE-TNR/PE-TNR-wetlsp-2022.nc,PE-TNR/PE-TNR-wetlsp-2023.nc,PE-TNR/PE-TNR-wetlsp-2024.nc,PE-TNR/pixels_geom_ds/,PE-TNR/pixels_meta_ds/meta.parquet,PE-TNR/pixels_timeseries_ds/,PE-TNR/README-parquet.json,PE-TNR/README-parquet.md
RU-Ch2,Chersky reference,Russia,68.61689,161.35089,,0,0,0,0,0,1,1,1,500,5,0.3,RU-Ch2/,RU-Ch2/RU-Ch2-wetlsp-2021.nc,RU-Ch2/RU-Ch2-wetlsp-2022.nc,RU-Ch2/RU-Ch2-wetlsp-2023.nc,RU-Ch2/RU-Ch2-wetlsp-2024.nc,RU-Ch2/pixels_geom_ds/,RU-Ch2/pixels_meta_ds/meta.parquet,RU-Ch2/pixels_timeseries_ds/,RU-Ch2/README-parquet.json,RU-Ch2/README-parquet.md
RU-Cok,Chokurdakh,Russia,70.82914,147.49428,,0,0,0,0,0,1,1,1,500,5,0.3,RU-Cok/,RU-Cok/RU-Cok-wetlsp-2021.nc,RU-Cok/RU-Cok-wetlsp-2022.nc,RU-Cok/RU-Cok-wetlsp-2023.nc,RU-Cok/RU-Cok-wetlsp-2024.nc,RU-Cok/pixels_geom_ds/,RU-Cok/pixels_meta_ds/meta.parquet,RU-Cok/pixels_timeseries_ds/,RU-Cok/README-parquet.json,RU-Cok/README-parquet.md
RU-Fy2,Fyodorovskoye dry spruce,Russia,56.4476,32.9019,,1,1,1,0,0,1,1,1,500,5,0.3,RU-Fy2/,RU-Fy2/RU-Fy2-wetlsp-2021.nc,RU-Fy2/RU-Fy2-wetlsp-2022.nc,RU-Fy2/RU-Fy2-wetlsp-2023.nc,RU-Fy2/RU-Fy2-wetlsp-2024.nc,RU-Fy2/pixels_geom_ds/,RU-Fy2/pixels_meta_ds/meta.parquet,RU-Fy2/pixels_timeseries_ds/,RU-Fy2/README-parquet.json,RU-Fy2/README-parquet.md
RU-Vrk,Seida/Vorkuta,Russia,67.0546799,62.9404678,,0,0,0,0,0,1,0,0,500,5,0.3,RU-Vrk/,RU-Vrk/RU-Vrk-wetlsp-2021.nc,RU-Vrk/RU-Vrk-wetlsp-2022.nc,RU-Vrk/RU-Vrk-wetlsp-2023.nc,RU-Vrk/RU-Vrk-wetlsp-2024.nc,RU-Vrk/pixels_geom_ds/,RU-Vrk/pixels_meta_ds/meta.parquet,RU-Vrk/pixels_timeseries_ds/,RU-Vrk/README-parquet.json,RU-Vrk/README-parquet.md
SE-Deg,Degero,Sweden,64.182029,19.556539,,0,0,0,0,1,1,1,1,300,3,0.3,SE-Deg/,SE-Deg/SE-Deg-wetlsp-2021.nc,SE-Deg/SE-Deg-wetlsp-2022.nc,SE-Deg/SE-Deg-wetlsp-2023.nc,SE-Deg/SE-Deg-wetlsp-2024.nc,SE-Deg/pixels_geom_ds/,SE-Deg/pixels_meta_ds/meta.parquet,SE-Deg/pixels_timeseries_ds/,SE-Deg/README-parquet.json,SE-Deg/README-parquet.md
SE-St1,Stordalen grassland,Sweden,68.3541488,19.050333,,0,0,0,0,1,1,1,1,300,3,0.3,SE-St1/,SE-St1/SE-St1-wetlsp-2021.nc,SE-St1/SE-St1-wetlsp-2022.nc,SE-St1/SE-St1-wetlsp-2023.nc,SE-St1/SE-St1-wetlsp-2024.nc,SE-St1/pixels_geom_ds/,SE-St1/pixels_meta_ds/meta.parquet,SE-St1/pixels_timeseries_ds/,SE-St1/README-parquet.json,SE-St1/README-parquet.md
US-AMS,ATMOS,United States,41.7018,-87.9963,amf,0,1,1,0,1,1,1,1,200,3,1.5,US-AMS/,US-AMS/US-AMS-wetlsp-2021.nc,US-AMS/US-AMS-wetlsp-2022.nc,US-AMS/US-AMS-wetlsp-2023.nc,US-AMS/US-AMS-wetlsp-2024.nc,US-AMS/pixels_geom_ds/,US-AMS/pixels_meta_ds/meta.parquet,US-AMS/pixels_timeseries_ds/,US-AMS/README-parquet.json,US-AMS/README-parquet.md
US-Alq,Allequash Creek Site,United States,46.0308,-89.6067,amf,1,1,1,1,0,0,0,1,300,3,0.3,US-Alq/,US-Alq/US-Alq-wetlsp-2021.nc,US-Alq/US-Alq-wetlsp-2022.nc,US-Alq/US-Alq-wetlsp-2023.nc,US-Alq/US-Alq-wetlsp-2024.nc,US-Alq/pixels_geom_ds/,US-Alq/pixels_meta_ds/meta.parquet,US-Alq/pixels_timeseries_ds/,US-Alq/README-parquet.json,US-Alq/README-parquet.md
US-Atq,Atqasuk,United States,70.4696,-157.4089,amf,0,0,0,0,0,0,1,1,300,3,0.3,US-Atq/,US-Atq/US-Atq-wetlsp-2021.nc,US-Atq/US-Atq-wetlsp-2022.nc,US-Atq/US-Atq-wetlsp-2023.nc,US-Atq/US-Atq-wetlsp-2024.nc,US-Atq/pixels_geom_ds/,US-Atq/pixels_meta_ds/meta.parquet,US-Atq/pixels_timeseries_ds/,US-Atq/README-parquet.json,US-Atq/README-parquet.md
US-BZB,Bonanza Creek Thermokarst Bog,United States,64.695547,-148.32084,amf,1,1,1,1,1,1,0,0,200,3,1.5,US-BZB/,US-BZB/US-BZB-wetlsp-2021.nc,US-BZB/US-BZB-wetlsp-2022.nc,US-BZB/US-BZB-wetlsp-2023.nc,US-BZB/US-BZB-wetlsp-2024.nc,US-BZB/pixels_geom_ds/,US-BZB/pixels_meta_ds/meta.parquet,US-BZB/pixels_timeseries_ds/,US-BZB/README-parquet.json,US-BZB/README-parquet.md
US-BZF,Bonanza Creek Rich Fen,United States,64.703733,-148.31333,amf,1,1,1,1,1,1,1,0,300,5,2.5,US-BZF/,US-BZF/US-BZF-wetlsp-2021.nc,US-BZF/US-BZF-wetlsp-2022.nc,US-BZF/US-BZF-wetlsp-2023.nc,US-BZF/US-BZF-wetlsp-2024.nc,US-BZF/pixels_geom_ds/,US-BZF/pixels_meta_ds/meta.parquet,US-BZF/pixels_timeseries_ds/,US-BZF/README-parquet.json,US-BZF/README-parquet.md
US-BZS,Bonanza Creek Black Spruce,United States,64.6963,-148.3235,amf,1,1,1,1,1,0,0,0,700,10,5,US-BZS/,US-BZS/US-BZS-wetlsp-2021.nc,US-BZS/US-BZS-wetlsp-2022.nc,US-BZS/US-BZS-wetlsp-2023.nc,US-BZS/US-BZS-wetlsp-2024.nc,US-BZS/pixels_geom_ds/,US-BZS/pixels_meta_ds/meta.parquet,US-BZS/pixels_timeseries_ds/,US-BZS/README-parquet.json,US-BZS/README-parquet.md
US-DPW,Disney Wilderness Preserve Wetland,United States,28.05206,-81.43611,amf,0,0,0,0,1,1,1,0,300,3,0.3,US-DPW/,US-DPW/US-DPW-wetlsp-2021.nc,US-DPW/US-DPW-wetlsp-2022.nc,US-DPW/US-DPW-wetlsp-2023.nc,US-DPW/US-DPW-wetlsp-2024.nc,US-DPW/pixels_geom_ds/,US-DPW/pixels_meta_ds/meta.parquet,US-DPW/pixels_timeseries_ds/,US-DPW/README-parquet.json,US-DPW/README-parquet.md
US-Dmg,Dutch Slough Marsh Gilbert Tract,United States,38.0015,-121.6691,amf,1,1,1,1,1,1,1,1,300,5,3,US-Dmg/,US-Dmg/US-Dmg-wetlsp-2021.nc,US-Dmg/US-Dmg-wetlsp-2022.nc,US-Dmg/US-Dmg-wetlsp-2023.nc,US-Dmg/US-Dmg-wetlsp-2024.nc,US-Dmg/pixels_geom_ds/,US-Dmg/pixels_meta_ds/meta.parquet,US-Dmg/pixels_timeseries_ds/,US-Dmg/README-parquet.json,US-Dmg/README-parquet.md
US-EDN,Eden Landing Ecological Reserve,United States,37.61562,-122.114,amf,1,1,1,1,1,1,0,0,600,6,0.5,US-EDN/,US-EDN/US-EDN-wetlsp-2021.nc,US-EDN/US-EDN-wetlsp-2022.nc,US-EDN/US-EDN-wetlsp-2023.nc,US-EDN/US-EDN-wetlsp-2024.nc,US-EDN/pixels_geom_ds/,US-EDN/pixels_meta_ds/meta.parquet,US-EDN/pixels_timeseries_ds/,US-EDN/README-parquet.json,US-EDN/README-parquet.md
US-EKH,Elkhorn Slough Hester Marsh,United States,36.8094,-121.7523,amf,0,1,1,1,1,1,1,1,600,6,0.5,US-EKH/,US-EKH/US-EKH-wetlsp-2021.nc,US-EKH/US-EKH-wetlsp-2022.nc,US-EKH/US-EKH-wetlsp-2023.nc,US-EKH/US-EKH-wetlsp-2024.nc,US-EKH/pixels_geom_ds/,US-EKH/pixels_meta_ds/meta.parquet,US-EKH/pixels_timeseries_ds/,US-EKH/README-parquet.json,US-EKH/README-parquet.md
US-EKN,Elkhorn Slough North Marsh,United States,36.8357,-121.7328,amf,0,0,1,1,1,1,1,0,600,6,0.5,US-EKN/,US-EKN/US-EKN-wetlsp-2021.nc,US-EKN/US-EKN-wetlsp-2022.nc,US-EKN/US-EKN-wetlsp-2023.nc,US-EKN/US-EKN-wetlsp-2024.nc,US-EKN/pixels_geom_ds/,US-EKN/pixels_meta_ds/meta.parquet,US-EKN/pixels_timeseries_ds/,US-EKN/README-parquet.json,US-EKN/README-parquet.md
US-EKP,Elkhorn Slough Porter Marsh,United States,36.8558,-121.7488,amf,0,1,1,1,1,1,1,1,600,6,0.5,US-EKP/,US-EKP/US-EKP-wetlsp-2021.nc,US-EKP/US-EKP-wetlsp-2022.nc,US-EKP/US-EKP-wetlsp-2023.nc,US-EKP/US-EKP-wetlsp-2024.nc,US-EKP/pixels_geom_ds/,US-EKP/pixels_meta_ds/meta.parquet,US-EKP/pixels_timeseries_ds/,US-EKP/README-parquet.json,US-EKP/README-parquet.md
US-EML,"Eight Mile Lake Permafrost thaw gradient, Healy Alaska.",United States,63.8784,-149.2536,amf,1,1,1,0,0,1,1,1,300,3,0.5,US-EML/,US-EML/US-EML-wetlsp-2021.nc,US-EML/US-EML-wetlsp-2022.nc,US-EML/US-EML-wetlsp-2023.nc,US-EML/US-EML-wetlsp-2024.nc,US-EML/pixels_geom_ds/,US-EML/pixels_meta_ds/meta.parquet,US-EML/pixels_timeseries_ds/,US-EML/README-parquet.json,US-EML/README-parquet.md
US-Elm,Everglades (long hydroperiod marsh),United States,25.5519,-80.7826,amf,1,1,1,1,1,1,1,1,300,3,0.5,US-Elm/,US-Elm/US-Elm-wetlsp-2021.nc,US-Elm/US-Elm-wetlsp-2022.nc,US-Elm/US-Elm-wetlsp-2023.nc,US-Elm/US-Elm-wetlsp-2024.nc,US-Elm/pixels_geom_ds/,US-Elm/pixels_meta_ds/meta.parquet,US-Elm/pixels_timeseries_ds/,US-Elm/README-parquet.json,US-Elm/README-parquet.md
US-Esm,Everglades (short hydroperiod marsh),United States,25.4379,-80.5946,amf,1,1,1,1,1,1,1,1,400,5,1,US-Esm/,US-Esm/US-Esm-wetlsp-2021.nc,US-Esm/US-Esm-wetlsp-2022.nc,US-Esm/US-Esm-wetlsp-2023.nc,US-Esm/US-Esm-wetlsp-2024.nc,US-Esm/pixels_geom_ds/,US-Esm/pixels_meta_ds/meta.parquet,US-Esm/pixels_timeseries_ds/,US-Esm/README-parquet.json,US-Esm/README-parquet.md
US-EvM,Everglades Saltwater intrusion marsh,United States,25.3539,-80.381,amf,1,1,1,0,1,1,1,1,400,4,0.5,US-EvM/,US-EvM/US-EvM-wetlsp-2021.nc,US-EvM/US-EvM-wetlsp-2022.nc,US-EvM/US-EvM-wetlsp-2023.nc,US-EvM/US-EvM-wetlsp-2024.nc,US-EvM/pixels_geom_ds/,US-EvM/pixels_meta_ds/meta.parquet,US-EvM/pixels_timeseries_ds/,US-EvM/README-parquet.json,US-EvM/README-parquet.md
US-HB1,North Inlet Crab Haul Creek,United States,33.3455,-79.1957,amf,1,1,1,1,1,1,1,1,400,5,1,US-HB1/,US-HB1/US-HB1-wetlsp-2021.nc,US-HB1/US-HB1-wetlsp-2022.nc,US-HB1/US-HB1-wetlsp-2023.nc,US-HB1/US-HB1-wetlsp-2024.nc,US-HB1/pixels_geom_ds/,US-HB1/pixels_meta_ds/meta.parquet,US-HB1/pixels_timeseries_ds/,US-HB1/README-parquet.json,US-HB1/README-parquet.md
US-HB4,Minim Creek Brackish Impoundment,United States,33.2015,-79.2975,amf,1,1,1,1,1,1,1,1,800,10,3,US-HB4/,US-HB4/US-HB4-wetlsp-2021.nc,US-HB4/US-HB4-wetlsp-2022.nc,US-HB4/US-HB4-wetlsp-2023.nc,US-HB4/US-HB4-wetlsp-2024.nc,US-HB4/pixels_geom_ds/,US-HB4/pixels_meta_ds/meta.parquet,US-HB4/pixels_timeseries_ds/,US-HB4/README-parquet.json,US-HB4/README-parquet.md
US-HRC,Humnoke Farm Rice Field – Field C,United States,34.58883,-91.751658,amf,0,0,0,0,1,1,1,1,300,3,0.5,US-HRC/,US-HRC/US-HRC-wetlsp-2021.nc,US-HRC/US-HRC-wetlsp-2022.nc,US-HRC/US-HRC-wetlsp-2023.nc,US-HRC/US-HRC-wetlsp-2024.nc,US-HRC/pixels_geom_ds/,US-HRC/pixels_meta_ds/meta.parquet,US-HRC/pixels_timeseries_ds/,US-HRC/README-parquet.json,US-HRC/README-parquet.md
US-Hsm,Hill Slough Marsh,United States,38.2368,-122.0212,amf,1,1,1,1,1,1,1,1,400,4,0.5,US-Hsm/,US-Hsm/US-Hsm-wetlsp-2021.nc,US-Hsm/US-Hsm-wetlsp-2022.nc,US-Hsm/US-Hsm-wetlsp-2023.nc,US-Hsm/US-Hsm-wetlsp-2024.nc,US-Hsm/pixels_geom_ds/,US-Hsm/pixels_meta_ds/meta.parquet,US-Hsm/pixels_timeseries_ds/,US-Hsm/README-parquet.json,US-Hsm/README-parquet.md
US-ICh,Imnavait Creek Watershed Heath Tundra,United States,68.6068,-149.2958,amf,1,1,1,1,1,1,1,0,300,3,0.3,US-ICh/,US-ICh/US-ICh-wetlsp-2021.nc,US-ICh/US-ICh-wetlsp-2022.nc,US-ICh/US-ICh-wetlsp-2023.nc,US-ICh/US-ICh-wetlsp-2024.nc,US-ICh/pixels_geom_ds/,US-ICh/pixels_meta_ds/meta.parquet,US-ICh/pixels_timeseries_ds/,US-ICh/README-parquet.json,US-ICh/README-parquet.md
US-ICs,Imnavait Creek Watershed Wet Sedge Tundra,United States,68.6058,-149.311,amf,1,1,1,1,1,1,0,0,300,3,0.3,US-ICs/,US-ICs/US-ICs-wetlsp-2021.nc,US-ICs/US-ICs-wetlsp-2022.nc,US-ICs/US-ICs-wetlsp-2023.nc,US-ICs/US-ICs-wetlsp-2024.nc,US-ICs/pixels_geom_ds/,US-ICs/pixels_meta_ds/meta.parquet,US-ICs/pixels_timeseries_ds/,US-ICs/README-parquet.json,US-ICs/README-parquet.md
US-ICt,Imnavait Creek Watershed Tussock Tundra,United States,68.6063,-149.3041,amf,1,1,1,1,1,1,1,1,300,3,0.3,US-ICt/,US-ICt/US-ICt-wetlsp-2021.nc,US-ICt/US-ICt-wetlsp-2022.nc,US-ICt/US-ICt-wetlsp-2023.nc,US-ICt/US-ICt-wetlsp-2024.nc,US-ICt/pixels_geom_ds/,US-ICt/pixels_meta_ds/meta.parquet,US-ICt/pixels_timeseries_ds/,US-ICt/README-parquet.json,US-ICt/README-parquet.md
US-Ivo,Ivotuk,United States,68.4865,-155.7503,amf,0,0,0,0,1,1,0,0,500,5,0.3,US-Ivo/,US-Ivo/US-Ivo-wetlsp-2021.nc,US-Ivo/US-Ivo-wetlsp-2022.nc,US-Ivo/US-Ivo-wetlsp-2023.nc,US-Ivo/US-Ivo-wetlsp-2024.nc,US-Ivo/pixels_geom_ds/,US-Ivo/pixels_meta_ds/meta.parquet,US-Ivo/pixels_timeseries_ds/,US-Ivo/README-parquet.json,US-Ivo/README-parquet.md
US-KPL,Lily Lake Fen,United States,60.5382,-150.5061,amf,1,1,1,1,1,1,1,1,300,3,0.3,US-KPL/,US-KPL/US-KPL-wetlsp-2021.nc,US-KPL/US-KPL-wetlsp-2022.nc,US-KPL/US-KPL-wetlsp-2023.nc,US-KPL/US-KPL-wetlsp-2024.nc,US-KPL/pixels_geom_ds/,US-KPL/pixels_meta_ds/meta.parquet,US-KPL/pixels_timeseries_ds/,US-KPL/README-parquet.json,US-KPL/README-parquet.md
US-LA1,Pointe-aux-Chenes Brackish Marsh,United States,29.5013,-90.4449,amf,0,0,0,0,1,1,1,1,300,4,1,US-LA1/,US-LA1/US-LA1-wetlsp-2021.nc,US-LA1/US-LA1-wetlsp-2022.nc,US-LA1/US-LA1-wetlsp-2023.nc,US-LA1/US-LA1-wetlsp-2024.nc,US-LA1/pixels_geom_ds/,US-LA1/pixels_meta_ds/meta.parquet,US-LA1/pixels_timeseries_ds/,US-LA1/README-parquet.json,US-LA1/README-parquet.md
US-LA2,Salvador WMA Freshwater Marsh,United States,29.8587,-90.2869,amf,1,1,1,0,1,0,0,1,300,3,0.5,US-LA2/,US-LA2/US-LA2-wetlsp-2021.nc,US-LA2/US-LA2-wetlsp-2022.nc,US-LA2/US-LA2-wetlsp-2023.nc,US-LA2/US-LA2-wetlsp-2024.nc,US-LA2/pixels_geom_ds/,US-LA2/pixels_meta_ds/meta.parquet,US-LA2/pixels_timeseries_ds/,US-LA2/README-parquet.json,US-LA2/README-parquet.md
US-LA3,Barataria Bay Saline Marsh,United States,29.4936,-89.9153,amf,1,1,1,0,1,1,1,0,300,4,1.5,US-LA3/,US-LA3/US-LA3-wetlsp-2021.nc,US-LA3/US-LA3-wetlsp-2022.nc,US-LA3/US-LA3-wetlsp-2023.nc,US-LA3/US-LA3-wetlsp-2024.nc,US-LA3/pixels_geom_ds/,US-LA3/pixels_meta_ds/meta.parquet,US-LA3/pixels_timeseries_ds/,US-LA3/README-parquet.json,US-LA3/README-parquet.md
